CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-IHC,PDC,Top 20,NA,Participatory Design Conference,25,A2,PDC
CE-ACPAD,PDCAT,Eventos da Área,NA,"International Conference on Parallel and Distributed Computing, Applications and Technologies",14,A5,PDCAT
CE-ESC,PDES,Eventos da Área,NA,IFAC International Conference on Programmable Devices and Embedded Systems,NA,A8,PDES
CE-ACPAD,PDP,Top 20,NA,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",22,A3,PDP
CE-RESD,PE-WASUM,Eventos da Área,NA,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",NA,A8,PE-WASUM
CE-ESC,PECCS,Eventos da Área,NA,Pervasive and Embedded Computing and Communication Systems,0,NA,PECCS
CE-RESD,PERCOM,Eventos da Área,NA,International Conference on Pervasive Computing and Communications,28,A2,PERCOM
CE-IHC,PETRA,Eventos da Área,NA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,NA,A8,PETRA
CE-SEG,PETS,Top 20,NA,Privacy Enhancing Technologies Symposium,NA,A6,PETS
CE-GRAPI,PG,Top 20,NA,Pacific Conference on Computer Graphics and Applications,NA,A6,PG
CE-IA,PGM,Eventos da Área,NA,International Conference on Probabilistic Graphical Models,13,A5,PGM
CE-RESD,PIMRC,Top 20,NA,"International Symposium on Personal, Indoor and Mobile Radio Communications",35,A1,PIMRC
CE-SEG,PKC,Top 20,NA,International Conference on Practice and Theory in Public Key Cryptography,37,A1,PKC
CE-Geoinformática,PLATIAL,Eventos da Área,NA,International Symposium on Platial Information Science,NA,A8,PLATIAL
CE-LP,PLDI,Top 10,NA,SIGPLAN Conference on Programming Language Design and Implementation,51,A1,PLDI
CE-ES,PLOP,Eventos da Área,NA,Conference on Pattern Languages of Programs,NA,A8,PLOP
CE-RESD,PODC,Top 20,NA,ACM Symposium on Principles of Distributed Computing,31,A2,PODC
CE-BD,PODS,Top 10,NA,Symposium on Principles of Database Systems,26,A2,PODS
CE-LP,POPL,Top 10,NA,Symposium on Principles of Programming Languages,0,NA,POPL
CE-ACPAD,PP,Eventos da Área,NA,SIAM Conference on Parallel Processing for Scientific Computing,NA,A8,PP
CE-ACPAD,PPAM,Eventos da Área,NA,International Conference on Parallel Processing and Applied Mathematics,10,A6,PPAM
CE-LP,PPDP,Top 20,NA,International Symposium on Principles and Practice of Declarative Programming,10,A5,PPDP
CE-ACPAD,PPOPP,Top 10,NA,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,34,A2,PPOPP
CE-TF,PRDC,Top 20,NA,Pacific Rim International Symposium on Dependable Computing,14,A4,PRDC
CE-ES,PROFES,Top 20,NA,International Conference on Product-Focused Software Process Improvement,18,A3,PROFES
CE-ES,PROMISE,Top 20,NA,International Conference on Predictive Models and Data Analytics in Software Engineering,NA,A6,PROMISE
CE-PLN,PROPOR,Top 10,NA,International Conference on Computational Processing of the Portuguese Language,13,A3,PROPOR
CE-BioComp,PSB,Top 10,NA,Pacific Symposium on Biocomputing,28,A2,PSB
CE-SEG,PST,Eventos da Área,NA,"International Conference on Privacy, Security and Trust",18,A4,PST
CE-GRAPI,PacificVis,Top 10,NA,IEEE Pacific Visualization Symposium,19,A3,PACIFICVIS
CE-RESD,PerCom Workshops,Eventos da Área,NA,IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events,29,A2,PERCOM WORKSHOPS
CE-CAS,PervasiveHealth,Top 10,NA,International Conference on Pervasive Computing Technologies for Healthcare,21,A3,PERVASIVEHEALTH
CE-SI,PoEM,Eventos da Área,NA,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,14,A5,POEM
CE-Geoinformática,PredictGIS,Eventos da Área,NA,International Workshop on Prediction of Human Mobility,NA,A8,PREDICTGIS
CE-RESD,Q2SWinet,Eventos da Área,NA,ACM Symposium on QoS and Security for Wireless and Mobile Networks,NA,A8,Q2SWINET
CE-ES,QRS,Eventos da Área,NA,"IEEE International Conference on Software Quality, Reliability, and Security",25,A2,QRS
CE-ES,QUATIC,Eventos da Área,NA,International Conference on Quality of Information and Communications Technology,16,A4,QUATIC
CE-WEBMEDIA,QoMEX,Top 20,NA,International Workshop on Quality of Multimedia Experience,30,A2,QOMEX
CE-CCI,RADECS,Eventos da Área,NA,European Conference on Radiation and its Effects on Components and Systems,NA,A8,RADECS
CE-R,RAHA,Eventos da Área,NA,IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications,NA,A8,RAHA
CE-SEG,RAID,Eventos da Área,NA,"International Symposium on Research in Attacks, Intrusions, and Defenses",28,A2,RAID
CE-PLN,RANLP,Top 20,NA,International Conference on Recent Advances in Natural Language Processing,25,A2,RANLP
CE-ESC,RCAR,Eventos da Área,NA,IEEE International Conference on Real-time Computing and Robotics,14,A5,RCAR
CE-ES,RCIS,Eventos da Área,NA,International Conference on Research Challenges in Information Science,18,A4,RCIS
CE-ES,RE,Eventos da Área,NA,IEEE International Requirements Engineering Conference,32,A2,RE
CE-LP,REBLS,Eventos da Área,NA,Workshop on Reactive and Event-Based Languages and Systems,NA,A8,REBLS
CE-BioComp,RECOMB,Top 10,NA,International Conference on Research in Computational Molecular Biology,0,NA,RECOMB
CE-CCI,RECONFIG,Eventos da Área,NA,International Conference on Reconfigurable Computing and FPGAs,NA,A8,RECONFIG
CE-ESC,RECOSOC,Eventos da Área,NA,International Symposium on Reconfigurable Communication-centric Systems-on-Chip,0,NA,RECOSOC
CE-ES,REFSQ,Eventos da Área,NA,International Working Conference on Requirements Engineering: Foundations for Software Quality,20,A3,REFSQ
CE-R,RITA,Eventos da Área,NA,International Conference on Robot Intelligence Technology and Applications,10,A6,RITA
CE-IHC,RO-MAN,Top 20,NA,IEEE International Symposium on Robot and Human Interactive Communication,34,A2,RO-MAN
CE-R,ROBIO,Top 20,NA,IEEE International Conference on Robotics and Biomimetics,21,A3,ROBIO
CE-R,ROBOCUP,Top 20,NA,Robocup International Symposium,15,A3,ROBOCUP
CE-R,ROBOT*,Eventos da Área,NA,Iberian Robotics Conference,NA,A8,ROBOT*
CE-R,ROSE,Eventos da Área,NA,IEEE International Symposium on Robotic and Sensors Environments,NA,A8,ROSE
CE-ESC,RSP,Eventos da Área,NA,IEEE International Symposium on Rapid System Prototyping,NA,A8,RSP
CE-R,RSS,Top 10,NA,Robotics: Science and Systems,83,A1,RSS
CE-ESC,RTAS,Top 10,NA,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,28,A2,RTAS
CE-ESC,RTCSA,Top 20,NA,International Conference on Embedded and Real-Time Computing Systems and Applications,16,A3,RTCSA
CE-ESC,RTIS,Eventos da Área,NA,International Conference on Real Time Intelligent Systems,0,NA,RTIS
CE-ESC,RTSS,Top 10,NA,Real-Time Systems Symposium,23,A3,RTSS
CE-R,RoMoCo,Eventos da Área,NA,International Workshop on Robot Motion and Control,0,NA,ROMOCO
CE-R,RoboSoft,Eventos da Área,NA,IEEE International Conference on Soft Robotics,31,A2,ROBOSOFT
CE-SEG,S&P,Top 10,NA,IEEE Symposium on Security and Privacy,112,A1,S&P
CE-ES,SAC,Eventos da Área,NA,ACM Symposium on Applied Computing,37,A1,SAC
CE-IA,SACI,Eventos da Área,NA,IEEE International Symposium on Applied Computational Intelligence and Informatics,17,A4,SACI
CE-SEG,SACMAT,Eventos da Área,NA,ACM Symposium on Access Control Models and Technologies,21,A3,SACMAT
CE-SEG,SACRYPT,Eventos da Área,NA,Workshop on Selected Areas in Cryptography,NA,A8,SACRYPT
CE-CCI,SAMOS,Eventos da Área,NA,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",12,A5,SAMOS
CE-ES,SANER,Top 10,NA,"IEEE International Conference on Software Analysis, Evolution and Reengineering",42,A1,SANER
CE-CCI,SARNOFF,Eventos da Área,NA,IEEE Sarnoff Symposium,NA,A8,SARNOFF
