CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-ES,ICSOFT,Eventos da Área,NA,International Conference on Software Technologies,14,A5,ICSOFT
CE-ESC,ICSPCEC,Eventos da Área,NA,"International Conference on Signal Processing, Communication, Power and Embedded System",2,A8,ICSPCEC
CE-ES,ICSR,Eventos da Área,NA,International Conference on Software Reuse,NA,A8,ICSR
CE-ES,ICSSP,Eventos da Área,NA,International Conference on Software and Systems Process,NA,A8,ICSSP
CE-ES,ICSTV,Eventos da Área,NA,"IEEE International Conference on Software Testing, Verification and Validation",34,A2,ICSTV
CE-ESC,ICT,Eventos da Área,NA,International Conference on Telecommunications,21,A3,ICT
CE-SC,ICT4D,Eventos da Área,NA,International Conference on Social Implications of Computers in Developing Countries,NA,A8,ICT4D
CE-MF,ICTAC,Top 20,NA,International Colloquium on Theoretical Aspects of Computing,11,A5,ICTAC
CE-IC,ICTAI,Top 20,NA,IEEE International Conference on Tools with Artificial Intelligence,28,A2,ICTAI
CE-BD,ICTIR,Eventos da Área,NA,Conference on the Theory of Information Retrieval,24,A3,ICTIR
CE-ES,ICTSS,Eventos da Área,NA,IFIP International Conference on Testing Software and Systems,NA,A8,ICTSS
CE-R,ICUAS,Top 10,NA,International Conference on Unmanned Aircraft Systems,32,A2,ICUAS
CE-RESD,ICUMT,Eventos da Área,NA,International Conference on Ultra Modern Telecommunications,19,A4,ICUMT
CE-RV,ICVIIP,Eventos da Área,NA,International Conference on Visualization: Imaging and Image Processing,NA,A8,ICVIIP
CE-CAS,ICVR,Top 20,NA,International Conference on Virtual Rehabilitation,12,A4,ICVR
CE-WEBMEDIA,ICWE,Top 20,NA,International Conference on Web Engineering,16,A3,ICWE
CE-WEBMEDIA,ICWS,Top 20,NA,IEEE International Conference on Web Services,26,A2,ICWS
CE-IA,ICWSM,Top 20,NA,International AAAI Conference on Web and Social Media,59,A1,ICWSM
CE-IA,IDA,Eventos da Área,NA,International Symposium on Intelligent Data Analysis,NA,A8,IDA
CE-IHC,IDC,Top 10,NA,International Symposium on Intelligent Distributed Computing,NA,A5,IDC
CE-RESD,IDCS,Eventos da Área,NA,International Conference on Internet and Distributed Computing Systems,NA,A8,IDCS
CE-BD,IDEAS,Top 20,NA,International Database Engineering and Applications Symposium,16,A3,IDEAS
CE-ESC,IECON,Eventos da Área,NA,Annual Conference of the IEEE Industrial Electronics Society,28,A2,IECON
CE-TF,IEEE Blockchain,Eventos da Área,NA,IEEE International Conference on Blockchain,NA,A8,IEEE BLOCKCHAIN
CE-GRAPI,IEEE IST,Eventos da Área,NA,IEEE International Conference on Imaging Systems and Techniques,17,A4,IEEE IST
CE-CCI,IEEE NANO,Top 20,NA,IEEE Conference on Nanotechnology,12,A4,IEEE NANO
CE-RV,IEEE S&P,Eventos da Área,NA,IEEE Symposium on Security and Privacy,NA,A8,IEEE S&P
CE-SC,IEEE SMC,Top 10,NA,"IEEE International Conference on Systems, Man and Cybernetics",NA,A5,IEEE SMC
CE-GRAPI,IEEE VIS,Top 10,NA,IEEE Visualization,22,A3,IEEE VIS
CE-RESD,IEEEANTS,Eventos da Área,NA,IEEE International Conference on Advanced Networks and Telecommuncations Systems,NA,A8,IEEEANTS
CE-RESD,IEEECLOUD,Eventos da Área,NA,IEEE International Conference on Cloud Computing,NA,A8,IEEECLOUD
CE-ESC,IESS,Eventos da Área,NA,IFIP International Embedded Systems Symposium,NA,A8,IESS
CE-ESC,IFAC,Eventos da Área,NA,World Congress of the International Federation of Automatic Control,0,NA,IFAC
CE-R,IFAC*,Eventos da Área,NA,IFAC - World Congress of the International Federation of Automatic Control,60,A1,IFAC*
CE-MF,IFM,Top 10,NA,International Conference on Integrated Formal Methods,NA,A5,IFM
CE-Geoinformática,IGARSS,Top 20,NA,IEEE International Geoscience and Remote Sensing Symposium,43,A1,IGARSS
CE-WEBMEDIA,IH&MMSec,Eventos da Área,NA,ACM Workshop on Information Hiding and Multimedia Security,23,A3,IH&MMSEC
CE-SC,IHC,Top 20,22,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,16,A3,IHC
CE-IHC,IHM,Eventos da Área,NA,Conférence Francophone sur l’Interaction Homme-Machine,NA,A8,IHM
CE-SEG,IIH-MSP,Eventos da Área,NA,International Conference on Intelligent Information Hiding and Multimedia Signal Processing,NA,A8,IIH-MSP
CE-ACPAD,IISWC,Eventos da Área,NA,IEEE International Symposium on Workload Characterization,22,A3,IISWC
CE-SI,IIWAS,Top 20,NA,International Conference on Information Integration and Web-based Applications & Services,15,A3,IIWAS
CE-IC,IJCAI,Top 20,NA,International Joint Conference on Artificial Intelligence,136,A1,IJCAI
GI-L,IJCAR,TOP 20,NA,International Joint Conference on Automated Reasoning,NA,A6,IJCAR
CE-PLN,IJCNLP,Top 10,NA,International Joint Conference on Natural Language Processing,32,A2,IJCNLP
CE-IC,IJCNN,Top 10,NA,IEEE International Joint Conference on Neural Networks,66,A1,IJCNN
CE-IHC,ILA,Eventos da Área,NA,Interaction Latin America,NA,A8,ILA
CE-IA,ILP,Eventos da Área,NA,International Conference on Inductive Logic Programming,NA,A8,ILP
CE-RESD,IM,Top 20,NA,IFIP/IEEE International Symposium on Integrated Network Management,25,A2,IM
CE-RESD,IMC,Top 10,NA,ACM Internet Measurement Conference,45,A1,IMC
CE-RESD,IMIS,Eventos da Área,NA,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,12,A5,IMIS
CE-SC,INCOS,Top 20,NA,International Conference on Intelligent Networking and Collaborative Systems,NA,A6,INCOS
CE-ESC,INDIN,Top 20,NA,IEEE International Conference on Industrial Informatics,24,A3,INDIN
CE-SEG,INDOCRYPT,Eventos da Área,NA,International Conference on Cryptology in India,17,A4,INDOCRYPT
CE-SI,INDUSCON,Eventos da Área,NA,International Conference on Industry Applications,12,A5,INDUSCON
CE-RESD,INFOCOM,Top 10,NA,IEEE International Conference on Computer Communications,80,A1,INFOCOM
CE-RESD,INFOCOM WKSHPS,Eventos da Área,NA,IEEE Conference on Computer Communications Workshops,NA,A8,INFOCOM WKSHPS
CE-PLN,INLG,Top 20,NA,International Natural Language Generation conference,NA,A6,INLG
CE-ACO,INOC,Eventos da Área,NA,International Network Optimization Conference,NA,A8,INOC
CE-SI,INTECH,Eventos da Área,NA,International Conference on Innovative Computing Technology,NA,A8,INTECH
CE-IHC,INTERACT,Top 10,NA,IFIP TC 13 International Conference on Human-Computer Interaction,23,A3,INTERACT
CE-PLN,INTERSPEECH,Top 20,NA,Conference of the International Speech Communication Association,112,A1,INTERSPEECH
CE-CCI,IOLTS,Eventos da Área,NA,IEEE International On-Line Testing Symposium,18,A4,IOLTS
CE-BD,IPAW,Eventos da Área,NA,International Provenance and Annotation Workshop,NA,A8,IPAW
CE-RESD,IPCCC,Eventos da Área,NA,"International Performance, Computing, and Communications Conference",17,A4,IPCCC
CE-ACO,IPCO,Top 10,NA,Conference on Integer Programming and Combinatorial Optimization,17,A3,IPCO
CE-CAS,IPDLN,Eventos da Área,NA,International Population Data Linkage Network,NA,A8,IPDLN
CE-ACPAD,IPDPS,Top 10,NA,IEEE International Parallel & Distributed Processing Symposium,41,A1,IPDPS
CE-ACO,IPEC,Top 20,NA,International Symposium on Parameterized and Exact Computation,17,A3,IPEC
CE-SI,IPMU,Eventos da Área,NA,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,16,A4,IPMU
CE-R,IRC,Eventos da Área,NA,IEEE International Conference on Robotic Computing,25,A2,IRC
CE-BD,IRI,Eventos da Área,NA,IEEE International Conference on Information Reuse and Integration,25,A2,IRI
CE-GRAPI,IRMMW-THZ,Eventos da Área,NA,"International Conference on Infrared, Millimeter and Terahertz Waves",18,A4,IRMMW-THZ
CE-IA,IROS,Top 20,NA,IEEE/RSJ International Conference on Intelligent Robots and Systems,92,A1,IROS
CE-ACO,ISAAC,Top 20,NA,International Symposium on Algorithms and Computation,17,A3,ISAAC
CE-RESD,ISADS,Eventos da Área,NA,International Symposium on Autonomous Decentralized Systems,NA,A8,ISADS
CE-R,ISAM*,Eventos da Área,NA,IEEE International Symposium on Assembly and Manufacturing,NA,A8,ISAM*
CE-CAS,ISBI,Top 20,NA,IEEE International Symposium on Biomedical Imaging,59,A1,ISBI
CE-BioComp,ISBRA,Top 10,NA,International Symposium on Bioinformatics Research and Applications,0,NA,ISBRA
CE-ACPAD,ISC,Top 20,NA,International Supercomputing Conference,26,A2,ISC
CE-RESD,ISC2,Eventos da Área,NA,IEEE International Smart Cities Conference,24,A3,ISC2
CE-ACPAD,ISCA,Top 10,NA,International Symposium on Computer Architecture,64,A1,ISCA
CE-CCI,ISCAS,Top 10,NA,IEEE International Symposium on Circuits and Systems,41,A1,ISCAS
CE-TF,ISCC,Top 20,NA,International Symposium on Computers and Communications,27,A2,ISCC
CE-SI,ISCIS,Eventos da Área,NA,International Symposium on Computer and Information Sciences,NA,A8,ISCIS
CE-ACO,ISCO,Eventos da Área,NA,International Symposium on Combinatorial Optimization,0,NA,ISCO
CE-SI,ISCON,Eventos da Área,NA,International Conference on Information Systems and Computer Networks,21,A3,ISCON
CE-SI,ISCRAM,Eventos da Área,NA,International Conference on Information Systems for Crisis Response and Management,21,A3,ISCRAM
CE-SI,ISD,Eventos da Área,NA,International Conference on Information Systems Development,14,A5,ISD
CE-CAS,ISDA,Top 20,NA,International Conference on Intelligent Systems Design and Applications,18,A3,ISDA
CE-ES,ISE,Eventos da Área,3,Workshop Brasileiro de Engenharia de Software Inteligente,NA,A8,ISE
CE-IHC,ISEA,Eventos da Área,NA,International Symposium on Electronic Arts,NA,A8,ISEA
CE-IE,ISECON,Eventos da Área,NA,Information Systems Education Conference,NA,A8,ISECON
CE-R,ISER*,Top 20,NA,International Symposium on Experimental Robotics,NA,A6,ISER*
CE-IE,ISET,Top 20,NA,International Symposium on Educational Technology,14,A4,ISET
